id,transaction_date_time,payment_key,customer_key,time_key,item_key,store_key,item_name,item_description,customer_name,customer_upazila,customer_district,customer_division,quarter,store_size,store_city,store_upazila,store_district,store_division,quantity,unit,unit_price,total_price
86c9c92e-5f60-4cb7-a309-ce882d117e69,08-06-2021 23:18,P025,C001495,T08774,I00185,S0038,Apple Sauce Variety GoGO Squeeze 3.2oz,Food - Healthy,ankita kanwar rathore,Dhanmondi,Dhaka,Dhaka,Q2,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,19,ct,14.0,266.0
addefbcb-a281-4b3b-b9fe-a86ff32bd52a,25-07-2020 00:10,P029,C001699,T00133,I00148,S0038,Plastic Knives White  Heavyweight,Dishware - Utensils,kanchan,Uttara,Dhaka,Dhaka,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,415,ct,15.0,6225.0
332fd143-ee75-4f13-a5e2-018eccd2f8c0,25-07-2020 00:10,P002,C000352,T00133,I00209,S0038,Quaker Instant Oatmeal Maple Brn Sugar,Food - Healthy,ishtkar,Megna,Comilla,Chittagong,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,1,ct,13.0,13.0
491a4898-5207-4819-a65d-a737b3b754ae,15-10-2019 21:28,P028,C000644,T07305,I00239,S0038,Extra Variety Packs Sugar Free,Gum - Mints,vinod kumar,Mirpur-1,Dhaka,Dhaka,Q4,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,18,pk,14.0,252.0
6bf65671-dd3b-4a19-b74d-87e847a0b938,15-09-2016 08:32,P039,C000644,T03071,I00241,S0038,Peppermints Hard Candy,Gum - Mints,vinod kumar,Mirpur-1,Dhaka,Dhaka,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,210,ct,12.0,2520.0
b052ca05-f44e-46b2-b496-676c5097f307,25-10-2021 00:51,P003,C001912,T04198,I00103,S0038,Hazelnut International Delight,Coffee Cream,krishna w/o hiralal,Mirpur-1,Dhaka,Dhaka,Q4,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,73,tubs,15.0,1095.0
31c87b7a-d2aa-490d-a9dd-53505136b3c5,07-12-2019 07:55,P029,C001358,T02410,I00260,S0038,Napkins Square Lunch,Kitchen Supplies,isha naaz,Bashundhara R/A,Dhaka,Dhaka,Q4,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,814,ct,15.0,12210.0
588fa65f-a824-413c-9320-631f2eaf7b8c,23-06-2017 04:53,P022,C001805,T02358,I00069,S0038,Gatorade Frost Variety 12 oz,Beverage - Gatorade,geeta,Megna,Comilla,Chittagong,Q2,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,10,bottles,17.5,175.0
bf13205d-54a7-4662-bf6e-4c6206c19314,26-03-2016 23:38,P008,C001963,T04810,I00142,S0038,Hefty Supreme Foam Plates 6 inch,Dishware - Plates,"preeti d/o daulat ram r/o a-629, jj colony madipur",Mohammadpur,Dhaka,Dhaka,Q1,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,159,ct,12.5,1987.5
798bd9a2-822f-40f2-ac79-ae167c7923a7,17-07-2017 08:02,P013,C000612,T08251,I00198,S0038,"Go-Gurt Low Fat Yogurt, Strwbry & Berry ",Food - Healthy,vipiv malkania,Megna,Comilla,Chittagong,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,10,ct,12.0,120.0
46295835-e845-4f75-9a37-3997c268ba2d,16-06-2019 23:33,P013,C001690,T09758,I00127,S0038,Sugar in the Raw Packets,Coffee Sweetener,sarvesh,Mohammadpur,Dhaka,Dhaka,Q2,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,108,pk,12.5,1350.0
da43e401-75da-4981-a1b4-fe8b558469a1,30-09-2014 18:41,P021,C000028,T09584,I00126,S0038,Splenda Sweetener,Coffee Sweetener,vansu dev,Bishwanath,Sylhet,Sylhet,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,566,ct,25.0,14150.0
76cf805c-a438-40ae-b200-788e15e693fb,23-02-2017 11:28,P035,C000271,T02502,I00223,S0038,Lance Variety Cracker Packs ,Food - Snacks,shakir,Agargaon,Dhaka,Dhaka,Q1,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,2,ct,13.5,27.0
07db4f68-2bb6-4a80-b97f-0683dbd2d0ad,23-02-2017 11:28,P013,C000564,T02502,I00237,S0038,Breath Savers Peppermints 12/roll ,Gum - Mints,shiva,Mirpur-1,Dhaka,Dhaka,Q1,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,13,ct,16.0,208.0
cdd8d8f0-101d-4a02-9d54-04ec8b00e1d5,11-12-2017 04:24,P013,C001871,T03382,I00258,S0038,Lysol Disinfectant Spray 19 oz,Kitchen Supplies,shakuntala sharma,Bashundhara R/A,Dhaka,Dhaka,Q4,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,3,pk,21.0,63.0
d0ec287d-62c2-4feb-b7a4-d39f2915c56b,06-06-2020 01:22,P017,C001991,T09851,I00153,S0038,Cheez It White Cheddar 1.5 oz,Food - Chips,smt kanchan devi,Savar,Dhaka,Dhaka,Q2,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,29,bags,15.0,435.0
1dfeb994-2524-4987-8f74-44a361a1d114,09-10-2015 08:27,P032,C001959,T02200,I00246,S0038,Cascade Gel Packs Dishwasher,Kitchen Supplies,jyoti,Mirpur-1,Dhaka,Dhaka,Q4,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,34,ct,20.0,680.0
eb84bdb2-da64-4320-b1af-c8ad9e2092f0,06-01-2017 17:05,P007,C000397,T01966,I00082,S0038,100% Juice Box Variety 6.75 oz ,Beverage - Juice,satyender @ kalu,Savar,Dhaka,Dhaka,Q1,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,33,ct,15.0,495.0
e78c42f8-bed4-4dfa-aead-afea28de1ecd,19-07-2022 22:04,P014,C000174,T00669,I00183,S0038,Snickers Bars 1.8oz,Food - Chocolate,sujen manjhi,Shyamoli,Dhaka,Dhaka,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,31,ct,35.0,1085.0
9bc85cb6-c3c7-4c49-b422-453ee2029f35,13-10-2021 02:12,P009,C000906,T05154,I00260,S0038,Napkins Square Lunch,Kitchen Supplies,anita,Uttara,Dhaka,Dhaka,Q4,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,919,ct,15.0,13785.0
377c8928-bbb8-4b08-a2d9-2717ad37e2d3,11-03-2018 14:25,P019,C001193,T08837,I00152,S0038,Cheez It Original Crackers 1.5oz,Food - Chips,poonam,Mirpur-1,Dhaka,Dhaka,Q1,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,42,bags,15.0,630.0
747d6faf-956d-478e-aa77-787d9dd04348,31-12-2017 15:56,P008,C001385,T00834,I00072,S0038,Gatorade Variety 20 oz ,Beverage - Gatorade,sajida,Bishwanath,Sylhet,Sylhet,Q4,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,16,bottles,20.0,320.0
d7adae83-f070-4c5c-931e-5ce7c88dadb3,08-08-2020 05:52,P016,C000211,T06390,I00227,S0038,Keebler Cookie & Cracker Variety,Food - Sweets,gappu,Megna,Comilla,Chittagong,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,2,pk,15.0,30.0
051d5367-3148-43c3-a9df-35c406d0b0da,09-07-2020 20:49,P017,C001956,T05213,I00231,S0038,Nabisco Cookie Variety Pk Oreo/ChocChip,Food - Sweets,ramdulari @ gulabu,Megna,Comilla,Chittagong,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,3,pk,16.0,48.0
55223e6f-8670-4d79-b4a4-a6a6757be79c,18-10-2014 12:38,P023,C001843,T09193,I00107,S0038,Dunkin Donuts Original Blend,Coffee Ground,komal,Gournadi,Barishal,Barishal,Q4,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,15,oz,20.0,300.0
6289d434-83a1-40a5-8643-0a667e2c1340,13-06-2017 17:39,P021,C001907,T06398,I00077,S0038,Fuze Iced Tea,Beverage - Iced Tea,suman,Savar,Dhaka,Dhaka,Q2,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,2,cans,6.75,13.5
24f74ff3-ef15-4563-b98c-9eeb0b6f821f,21-01-2014 00:58,P012,C000272,T00746,I00235,S0038,Zoo Animal Cookies/Crackers,Food - Sweets,haseen ahmed,Keranigong,Dhaka,Dhaka,Q1,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,13,ct,14.0,182.0
e21c16c4-6f08-4676-96ff-961141c628a2,20-02-2014 22:06,P031,C000659,T08261,I00063,S0038,Red Bull 8.4 oz,Beverage - Energy/Protein,damanjeet singh,Megna,Comilla,Chittagong,Q1,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,19,cans,40.0,760.0
