,transaction_date_time,payment_key,customer_key,time_key,item_key,store_key,item_name,item_description,customer_name,customer_upazila,customer_district,customer_division,quarter,store_size,store_city,store_upazila,store_district,store_division,quantity,unit,unit_price,total_price
0,08-06-2021 23:18,P025,C001495,T08774,I00185,S0038,Apple Sauce Variety GoGO Squeeze 3.2oz,Food - Healthy,ankita kanwar rathore,Dhanmondi,Dhaka,Dhaka,Q2,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,19,ct,14.0,266.0
1,25-07-2020 00:10,P029,C001699,T00133,I00148,S0038,Plastic Knives White  Heavyweight,Dishware - Utensils,kanchan,Uttara,Dhaka,Dhaka,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,415,ct,15.0,6225.0
2,25-07-2020 00:10,P002,C000352,T00133,I00209,S0038,Quaker Instant Oatmeal Maple Brn Sugar,Food - Healthy,ishtkar,Megna,Comilla,Chittagong,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,1,ct,13.0,13.0
3,15-10-2019 21:28,P028,C000644,T07305,I00239,S0038,Extra Variety Packs Sugar Free,Gum - Mints,vinod kumar,Mirpur-1,Dhaka,Dhaka,Q4,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,18,pk,14.0,252.0
4,15-09-2016 08:32,P039,C000644,T03071,I00241,S0038,Peppermints Hard Candy,Gum - Mints,vinod kumar,Mirpur-1,Dhaka,Dhaka,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,210,ct,12.0,2520.0
5,25-10-2021 00:51,P003,C001912,T04198,I00103,S0038,Hazelnut International Delight,Coffee Cream,krishna w/o hiralal,Mirpur-1,Dhaka,Dhaka,Q4,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,73,tubs,15.0,1095.0
6,07-12-2019 07:55,P029,C001358,T02410,I00260,S0038,Napkins Square Lunch,Kitchen Supplies,isha naaz,Bashundhara R/A,Dhaka,Dhaka,Q4,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,814,ct,15.0,12210.0
7,23-06-2017 04:53,P022,C001805,T02358,I00069,S0038,Gatorade Frost Variety 12 oz,Beverage - Gatorade,geeta,Megna,Comilla,Chittagong,Q2,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,10,bottles,17.5,175.0
8,26-03-2016 23:38,P008,C001963,T04810,I00142,S0038,Hefty Supreme Foam Plates 6 inch,Dishware - Plates,"preeti d/o daulat ram r/o a-629, jj colony madipur",Mohammadpur,Dhaka,Dhaka,Q1,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,159,ct,12.5,1987.5
9,17-07-2017 08:02,P013,C000612,T08251,I00198,S0038,"Go-Gurt Low Fat Yogurt, Strwbry & Berry ",Food - Healthy,vipiv malkania,Megna,Comilla,Chittagong,Q3,medium,Laxmipur,Ramgati,Laxmipur,Chittagong,10,ct,12.0,120.0
